pair_id,which,target_class,pred_prob_target,delta_ins_base,delta_del_base,delta_ins_weight_randomized,delta_del_weight_randomized,delta_ins_label_permuted,delta_del_label_permuted,random_baseline_unique_ratio,rank_jaccard_weight_randomized,rank_jaccard_label_permuted,orientation_ok_base
test_diag_18,B,74,0.5720989108085632,-0.014207566587318643,-0.029784008732129788,1.4796570457260502e-05,1.5258769793758883e-05,0.00213914251533048,0.003196922195111883,1.0,0.17647058823529413,0.42857142857142855,True
test_diag_19,A,72,0.49925652146339417,-0.1391090384787983,-0.03546183912290468,2.2172325083778463e-05,2.813880693995109e-05,-0.012488852731055683,-0.018333253388603532,1.0,0.1111111111111111,0.42857142857142855,True
test_diag_19,B,72,0.49925652146339417,-0.017469806776892804,-0.039010319017594886,7.380211665745234e-06,8.25050857759281e-06,-0.002320206333552635,0.0057062672871735776,1.0,0.42857142857142855,0.17647058823529413,True
test_diag_20,A,57,0.5268347263336182,0.14449727881699792,0.3796325697144493,1.4951331540941429e-05,1.4541363343594654e-05,0.001577252054121345,0.0008619458309840409,1.0,0.42857142857142855,0.6666666666666666,True
test_diag_20,B,57,0.5268347263336182,-0.004699748289486827,-0.033470408416663586,7.3982626889596e-06,8.60336305642806e-06,0.0002529833457191235,0.0001774432232465456,1.0,0.17647058823529413,0.3333333333333333,True
test_diag_21,A,72,0.48889243602752686,0.18762714586087637,0.19942192158528738,2.2857070767455523e-05,2.006394788622856e-05,0.011486915498971934,0.016350512419428156,1.0,0.6666666666666666,0.8181818181818182,True
test_diag_21,B,72,0.48889243602752686,0.041182592483100425,-0.029105421232045903,9.23927873372997e-06,7.5966503252020146e-06,-0.00019907329012366914,0.005963274639318963,1.0,0.5384615384615384,0.6666666666666666,True
test_diag_22,A,48,0.9623684883117676,0.07093225717544549,0.15797284046808868,-5.704723298551734e-06,-5.664241810638196e-06,-0.004086526234944682,0.007317509253819798,0.6,1.0,1.0,True
test_diag_22,B,48,0.9623684883117676,0.05893146808330829,0.0996245003663575,1.8476390351469807e-05,1.2046421089997872e-05,-0.004194565002734851,0.007064454343456483,1.0,0.25,0.25,True
test_diag_23,A,59,0.5184527039527893,-0.09763507822062822,-0.07959728294517845,-1.077674969565158e-05,-1.259151613339747e-05,0.0029144998057745383,0.0012235844827955585,1.0,0.3333333333333333,0.3333333333333333,True
test_diag_23,B,59,0.5184527039527893,-0.014875831041071139,0.009886728785932095,-8.578370842669478e-06,-1.3227243390348878e-05,0.0025058584908644356,0.000739386657045947,1.0,0.42857142857142855,0.6666666666666666,True
test_diag_24,A,48,0.9858452081680298,0.01909624649130781,0.003568954571433691,-3.7386527527924485e-06,-5.1276029452047844e-06,-0.028158446433751483,-0.011518565403378561,1.0,0.3333333333333333,1.0,True
test_diag_24,B,48,0.9858452081680298,0.1126574251651764,0.10852463495731351,-1.5562936663627083e-05,-5.711443722248438e-06,-0.018488978803157835,-0.012156910121440906,1.0,0.42857142857142855,0.42857142857142855,True
test_diag_25,A,72,0.7547628283500671,-0.033811063548693315,0.027494905270062944,8.946899324655672e-06,1.53250003663407e-05,-0.009739743092885375,-0.0009355234870543905,1.0,0.1111111111111111,0.6666666666666666,True
test_diag_25,B,72,0.7547628283500671,-0.011941418051719666,-0.013048809150169705,1.8482179991131595e-05,1.9532596242839012e-05,0.004362093760021807,0.0051793693725405154,1.0,0.17647058823529413,0.42857142857142855,True
test_diag_26,A,48,0.9774671196937561,0.1082003152888753,0.10927379001741822,-1.2019171339014423e-05,-1.5706787614718984e-05,-0.015365448140579746,-0.02251671410125236,1.0,0.3333333333333333,0.42857142857142855,True
test_diag_26,B,48,0.9774671196937561,-0.1398215519885223,0.03515369233985732,1.418275836234141e-05,1.664564867193477e-05,-7.793245216211608e-05,-0.011154389691849537,1.0,0.3333333333333333,0.42857142857142855,True
test_diag_27,A,46,0.4092450737953186,0.04777721642028715,0.03469469351250498,3.8832381722350706e-07,-2.219902706287677e-06,-0.017690657664622578,-0.009785115576925726,1.0,0.42857142857142855,0.3333333333333333,True
test_diag_27,B,46,0.4092450737953186,-0.05436686303081184,-0.03712308453074817,1.339224520428492e-05,1.4153861537061566e-05,0.007541571955742496,0.004937163432096624,1.0,0.5384615384615384,0.5384615384615384,True
test_diag_28,A,74,0.43872904777526855,-0.114917193957501,-0.06617917710708249,1.2330876456367185e-05,1.9757722814879586e-05,-0.006178961400356557,-0.004564688805904653,1.0,0.3333333333333333,0.5384615384615384,True
test_diag_28,B,74,0.43872904777526855,-0.013898172309814869,-0.00047206226094016063,1.611991560664626e-05,1.6320811520363285e-05,0.002805562349485941,0.002719676668017073,1.0,0.17647058823529413,0.42857142857142855,True
test_diag_29,A,48,0.7988249659538269,0.12268581150897906,0.15769515452640392,-4.4129256691269325e-06,-2.1599698811665402e-07,-0.007497613664184291,-0.023991179279983052,1.0,0.3333333333333333,0.3333333333333333,True
test_diag_29,B,48,0.7988249659538269,-0.04737029940851273,0.021011048651510655,-0.00010964513846462888,-4.798523901450996e-05,0.0014839199762190641,-0.00896785638986096,1.0,0.42857142857142855,0.8181818181818182,True
test_diag_30,A,48,0.9645791053771973,0.033001557451028285,0.045141766850764986,-1.3487295319256423e-05,-9.540035031160854e-06,-0.012483379359428698,-0.025446528310959143,1.0,0.3333333333333333,0.42857142857142855,True
test_diag_30,B,48,0.9645791053771973,0.0004628692802630674,0.03216684288100191,9.361017299317625e-07,-1.5263151573515626e-06,0.02901273867801618,0.00883932823413297,1.0,0.3333333333333333,0.5384615384615384,True
test_diag_31,A,19,0.5169855356216431,0.10934175083696443,0.058739004226767366,7.243288148725893e-06,4.031339527241218e-06,-0.005875043451253861,-0.0030363467089565763,1.0,0.17647058823529413,0.3333333333333333,True
test_diag_31,B,19,0.5169855356216431,-0.06691279613878581,-0.06457207097361484,-1.9947998225688934e-05,-3.0587155682344075e-05,0.003246520832180976,0.0016566423544039297,1.0,0.25,0.17647058823529413,True
test_diag_32,A,46,0.8272202610969543,-0.02907273361370677,-0.08927900095780689,2.278030539554915e-06,2.9137069802905036e-06,-0.008853735260310636,-0.011278453309621128,1.0,0.42857142857142855,0.3333333333333333,True
